N,Iteratif,Rekursif
100,4.700152203440666e-06,3.899913281202316e-06
200,1.4998950064182281e-06,1.600012183189392e-06
300,1.0998919606208801e-06,1.700129359960556e-06
400,4.998873919248581e-07,1.00000761449337e-06
500,6.00004568696022e-07,7.00121745467186e-07
600,7.00121745467186e-07,1.100124791264534e-06
700,4.00003045797348e-07,6.998889148235321e-07
800,6.998889148235321e-07,1.0998919606208801e-06
900,4.00003045797348e-07,9.0012326836586e-07
1000,6.00004568696022e-07,3.0011869966983795e-07
